word,mean_importance,frequency,total_importance
2017,0.01868639689899445,4,0.0747455875959778
Sher,0.036685990973581196,2,0.07337198194716239
who,0.024279573804516816,3,0.07283872141355045
Some,0.03597861780665955,2,0.0719572356133191
wounded,0.014212933018108647,5,0.07106466509054324
27,0.02357142948989194,3,0.07071428846967583
deceased,0.07054279106642387,1,0.07054279106642387
Ahmad,0.06966191213698883,1,0.06966191213698883
Feb,0.06811399656295994,1,0.06811399656295994
member,0.03366113015742286,2,0.06732226031484571
attack,0.022415872646947128,3,0.06724761794084139
blast,0.022146384243290924,3,0.06643915272987277
It,0.06522000368255719,1,0.06522000368255719
accuses,0.06406417052330811,1,0.06406417052330811
later,0.061922306984201876,1,0.061922306984201876
6,0.030003907480620443,2,0.060007814961240885
Dah,0.05960392683641997,1,0.05960392683641997
military,0.019749986697313923,3,0.05924996009194177
7,0.019209719883863417,3,0.057629159651590246
16,0.02821620545269018,2,0.05643241090538036
total,0.05517528177709997,1,0.05517528177709997
gathering,0.05481050951956163,1,0.05481050951956163
coordinated,0.054469153492863694,1,0.054469153492863694
All,0.052658505752394565,1,0.052658505752394565
April,0.02627661298280105,2,0.0525532259656021
20,0.052330655392887705,1,0.052330655392887705
detonating,0.051869091368211204,1,0.051869091368211204
supporters,0.05056429268664635,1,0.05056429268664635
commando,0.048810375382230195,1,0.048810375382230195
shrine,0.0233955774560506,2,0.0467911549121012
Another,0.04648719285755519,1,0.04648719285755519
24,0.04586848410004136,1,0.04586848410004136
9th,0.04570956883080768,1,0.04570956883080768
injuring,0.02269588066520094,2,0.04539176133040188
57,0.04334498450474785,1,0.04334498450474785
split,0.02159260441100249,2,0.04318520882200498
midnight,0.04301342365998699,1,0.04301342365998699
civilian,0.021215193242463893,2,0.042430386484927786
Ragh,0.042116540020423754,1,0.042116540020423754
down,0.04117996562349573,1,0.04117996562349573
people,0.04032533394392779,1,0.04032533394392779
other,0.013342420507820878,3,0.040027261523462636
then,0.03862701688019333,1,0.03862701688019333
19,0.01899229696471112,2,0.03798459392942224
journalists,0.037511869904816565,1,0.037511869904816565
suspected,0.03725432608999909,1,0.03725432608999909
kidnappers,0.036262326580837154,1,0.036262326580837154
21,0.012000432779806773,3,0.03600129833942032
Bala,0.03578361405381407,1,0.03578361405381407
casualties,0.03577058014624169,1,0.03577058014624169
members,0.03557050322433266,1,0.03557050322433266
building,0.03542354928497441,1,0.03542354928497441
entering,0.03530120860910599,1,0.03530120860910599
2020,0.005861729231569748,6,0.03517037538941849
half,0.03487955074359287,1,0.03487955074359287
began,0.03466382856614648,1,0.03466382856614648
assassinated,0.03464837541595503,1,0.03464837541595503
May,0.011411389214262104,3,0.03423416764278631
include,0.034121912811050384,1,0.034121912811050384
ANA,0.03393938686084606,1,0.03393938686084606
2nd,0.033816636446699286,1,0.033816636446699286
three,0.03378594841148342,1,0.03378594841148342
33,0.03371418987069902,1,0.03371418987069902
set,0.03365506656244665,1,0.03365506656244665
head,0.033531980547908916,1,0.033531980547908916
assumed,0.016502977749847186,2,0.03300595549969437
hit,0.008184072413981081,4,0.032736289655924324
Bazaar,0.03256158287208695,1,0.03256158287208695
34,0.03250810795804767,1,0.03250810795804767
sticky,0.03173086827098037,1,0.03173086827098037
local,0.015776386742577465,2,0.03155277348515493
14,0.006262955005329888,5,0.03131477502664944
US,0.015454082057813862,2,0.030908164115627725
Persian,0.030875454631548373,1,0.030875454631548373
captured,0.030713275389710595,1,0.030713275389710595
celebration,0.030144857625130583,1,0.030144857625130583
25,0.030054003232128864,1,0.030054003232128864
Qali,0.02983563272769943,1,0.02983563272769943
Tangi,0.02970403769674595,1,0.02970403769674595
injured,0.029467757966703378,1,0.029467757966703378
Although,0.02914749430585118,1,0.02914749430585118
policemen,0.009534775206022713,3,0.028604325618068138
NDS,0.028432529068663746,1,0.028432529068663746
long,0.02836763999907357,1,0.02836763999907357
survived,0.02775608000036966,1,0.02775608000036966
lawyer,0.027077166938635936,1,0.027077166938635936
more,0.02672625386332418,1,0.02672625386332418
or,0.026621724823445915,1,0.026621724823445915
seized,0.013177469938956257,2,0.026354939877912514
0,0.02610743866620779,1,0.02610743866620779
133,0.02520161410266567,1,0.02520161410266567
32,0.02514970777844363,1,0.02514970777844363
