word,mean_importance,frequency,total_importance,std_importance
between,0.0683020942566098,4,0.2732083770264392,0.04494414110303173
executed,0.26672200769693183,1,0.26672200769693183,0.0
Afghan,0.022222596909976067,12,0.2666711629197128,0.02079668677838313
at,0.043539506226243106,6,0.2612370373574586,0.03969375929807511
Dih,0.0627729131200961,4,0.2510916524803844,0.03460710076550929
Haska,0.21502713111984545,1,0.21502713111984545,0.0
civilians,0.053658384709836346,4,0.21463353883934538,0.02622025344470673
with,0.03445995778816786,6,0.20675974672900713,0.04250853639210867
blown,0.10251973464431216,2,0.20503946928862432,0.023296377024073743
PD3,0.06532503020233434,3,0.19597509060700302,0.0660137668368235
PD6,0.092283247345888,2,0.184566494691776,0.048047207947487756
PD2,0.1845608609672072,1,0.1845608609672072,0.0
PD4,0.17652280837565504,1,0.17652280837565504,0.0
across,0.05688787714961452,3,0.17066363144884356,0.01669006551067045
that,0.02838567561237811,6,0.17031405367426866,0.02344431486992319
2021,0.015372206316022392,11,0.1690942694762463,0.00988003596986123
shot,0.02375874198206458,7,0.16631119387445206,0.014153868584712521
coded,0.01339661520224323,12,0.16075938242691876,0.016426474590734794
GP2,0.05193472259527587,3,0.15580416778582762,0.0459795354306316
were,0.01716594077489845,9,0.15449346697408603,0.011751549120260921
their,0.029717573713378232,5,0.14858786856689116,0.013806639870257329
including,0.028842379878602498,5,0.1442118993930125,0.02010166690701023
up,0.07172815974649026,2,0.14345631949298052,0.009384093617566355
during,0.03575825691802708,4,0.14303302767210832,0.01531222066991108
include,0.14201475800908867,1,0.14201475800908867,0.0
killing,0.027215292227918124,5,0.13607646113959063,0.018177452156679087
Reports,0.06750863959554423,2,0.13501727919108847,0.0006481244443468925
from,0.06570849172324456,2,0.1314169834464891,0.0063618169827499155
police,0.1288105477939093,1,0.1288105477939093,0.0
claim,0.06275828464147737,2,0.12551656928295474,0.015862867828058968
to,0.02427461438418844,5,0.12137307192094221,0.01912832940508671
Around,0.01727473703899168,7,0.12092315927294175,0.01932898179554856
loyalists,0.11841901572220806,1,0.11841901572220806,0.0
Kaga,0.05784520797411559,2,0.11569041594823118,0.03272817789204485
attack,0.01882916959904281,6,0.11297501759425688,0.011464960654517827
wounded,0.011233547149432466,10,0.11233547149432466,0.01023706097551143
Pech,0.1104629079665471,1,0.1104629079665471,0.0
10,0.054873996694561916,2,0.10974799338912383,0.051689936694707395
detonated,0.05417472237035271,2,0.10834944474070542,0.026116127795641732
Dara,0.05316471499964411,2,0.10632942999928822,0.010901335791254067
blast,0.03437258317011329,3,0.10311774951033986,0.030076260613759308
PD7,0.10234089983159286,1,0.10234089983159286,0.0
injured,0.03399765083112879,3,0.10199295249338636,0.014827887036507583
27,0.03360127753669273,3,0.10080383261007819,0.025140007076176477
PD8,0.05002224122319432,2,0.10004448244638864,0.00901425007923573
bombing,0.0967700763761574,1,0.0967700763761574,0.0
targeted,0.03225108218441944,3,0.09675324655325832,0.020581848305778458
Reported,0.0468730182853377,2,0.0937460365706754,0.036341096544357715
Katyusha,0.09298964902048885,1,0.09298964902048885,0.0
village,0.04640192302352719,2,0.09280384604705438,0.004796952206611405
journalists,0.08920307846866281,1,0.08920307846866281,0.0
14,0.0855459773453114,1,0.0855459773453114,0.0
Sultanpur,0.0854113537929188,1,0.0854113537929188,0.0
themselves,0.0849851239422875,1,0.0849851239422875,0.0
Muslim,0.0834453885058979,1,0.0834453885058979,0.0
As,0.02049580958293873,4,0.08198323833175492,0.0036941445466326375
year,0.08171457562417915,1,0.08171457562417915,0.0
2,0.020330327229852656,4,0.08132130891941063,0.012924283273086767
bombers,0.08080825447984318,1,0.08080825447984318,0.0
power,0.08058104962280585,1,0.08058104962280585,0.0
a,0.00882772829504501,9,0.07944955465540508,0.010827563563111839
commando,0.07939301499176574,1,0.07939301499176574,0.0
prayer,0.07904412363272169,1,0.07904412363272169,0.0
member,0.026049781347367473,3,0.07814934404210241,0.015052040457469018
2nd,0.03870223434415639,2,0.07740446868831279,0.023898677256068073
May,0.012299763145499095,6,0.07379857887299457,0.009765502278884388
madrasa,0.07112804955561858,1,0.07112804955561858,0.0
men,0.07101024904461452,1,0.07101024904461452,0.0
US,0.035310579417114726,2,0.07062115883422945,0.0037198620280281293
No,0.02338311298640577,3,0.07014933895921731,0.025380114549634555
has,0.03441213346119177,2,0.06882426692238354,0.020881853047350695
supporters,0.06839044094768194,1,0.06839044094768194,0.0
accuses,0.06672399358503488,1,0.06672399358503488,0.0
other,0.021603472017208292,3,0.06481041605162488,0.013610760687978882
PD1,0.06400433136172486,1,0.06400433136172486,0.0
civilian,0.0208768697320721,3,0.0626306091962163,0.013926445836320708
shrine,0.03107670790700303,2,0.06215341581400606,0.002421212743527105
captured,0.06174157951553973,1,0.06174157951553973,0.0
9,0.020472440508563564,3,0.06141732152569069,0.01320653372052998
villages,0.0304891616114146,2,0.0609783232228292,0.021236646146315468
half,0.059896909627709743,1,0.059896909627709743,0.0
suspected,0.05817019723556971,1,0.05817019723556971,0.0
Pakistani,0.05792113132445833,1,0.05792113132445833,0.0
City,0.02803315662179804,2,0.05606631324359608,0.01216580407873606
March,0.027979044160462565,2,0.05595808832092513,0.02138876344767817
scholars,0.055057239169345996,1,0.055057239169345996,0.0
split,0.027085774900253407,2,0.05417154980050681,0.014522244430344533
outside,0.053276486831691824,1,0.053276486831691824,0.0
sticky,0.026380496779424792,2,0.052760993558849584,0.008974806441948986
explosion,0.026021160384519494,2,0.05204232076903899,0.018235880178817165
commander,0.026005018789460727,2,0.052010037578921454,0.01598565211245857
some,0.05125732793310501,1,0.05125732793310501,0.0
it,0.05086094370762168,1,0.05086094370762168,0.0
20,0.04806184525324571,1,0.04806184525324571,0.0
casualties,0.04777388664678802,1,0.04777388664678802,0.0
gathering,0.046562906322478816,1,0.046562906322478816,0.0
leader,0.043952368275232814,1,0.043952368275232814,0.0
religious,0.04317415268290254,1,0.04317415268290254,0.0
