feature,corr_with_test_f1,corr_with_cv_score,mean_importance
notes_emb_90,0.43410588854195997,-0.3203115703679664,0.0016251033155956873
notes_emb_113,0.4322740937514416,0.22638547112095764,0.0014829605817734007
notes_emb_201,0.431467873182066,-0.029530483777481593,0.001257601611764395
notes_emb_340,0.43013434078705465,-0.009130603487560425,0.00134882231841764
notes_emb_177,0.4300069643065397,-0.04240252211569489,0.0014036291735658353
notes_emb_207,0.4297496656158192,0.13677451973920582,0.001904928549701267
notes_emb_210,0.4279726557230278,0.04149581524740142,0.001321899195133629
notes_emb_142,0.42521900100362925,0.5137404881951061,0.002329522884195749
notes_emb_261,0.41561389416071515,0.05331520479167613,0.001381234950145581
notes_emb_6,0.40724008593658356,0.22151150367141273,0.0017773347608964886
notes_emb_260,0.4069640060031876,-0.013995647130945766,0.0013969294200704672
notes_emb_169,0.40653595025978617,-0.0749337032486396,0.0032080154703054875
notes_emb_252,0.40365280491684213,-0.10774739187044377,0.002212334148427519
notes_emb_238,0.3987907861963442,0.15747295298558253,0.0024936866958663304
notes_emb_121,0.3978129146212094,0.10265732885580972,0.0016415836981847258
notes_emb_146,0.39190436820299673,0.1523229603345783,0.0016965569719217036
notes_emb_343,0.3903554451242516,0.47870234122576405,0.002916719658883328
notes_emb_284,0.3888623884307172,-0.3064773874937228,0.0016550151681578554
notes_emb_274,0.38836272356662116,-0.33919300122627527,0.0011236698051703127
notes_emb_70,0.3861838804219774,0.2854561726409795,0.0016779036424595605
notes_emb_108,0.38439131770713914,0.1752723885164881,0.001352016592788674
notes_emb_5,0.3818095628571528,0.006187232479098386,0.0022114971422055956
notes_emb_184,0.3818083680427104,-0.13435063485394716,0.0013849692430943205
notes_emb_81,0.381512918260334,0.3602409363071863,0.0015787232171788383
notes_emb_323,0.38082814296327316,-0.161439559901642,0.0018238777949239387
notes_emb_1,0.38064161377065175,-0.2621026757639577,0.0013317824175120027
notes_emb_41,0.37955776156310544,0.42118271839863103,0.002508088529684851
notes_emb_204,0.3790085838715967,0.012000105544326496,0.0018761315764515088
notes_emb_143,0.37880927419657817,-0.0899640436774048,0.001833288381462738
notes_emb_285,0.37835365065595483,-0.20594210033580493,0.0013554812281080027
notes_emb_125,0.371591703117151,-0.04648018140458036,0.002042698375629599
notes_emb_275,0.36917769991708177,-0.23588774573776766,0.00139289975258969
notes_emb_296,0.3690765401453362,0.05088214446510581,0.0014810689678831988
notes_emb_139,0.3682725117332684,0.4032970253808745,0.0020030468092388618
