model,feature,importance
rfc_smote,notes_emb_309,0.0015160730188526848
rfc_smote,notes_emb_310,0.001428825742972935
rfc_smote,notes_emb_311,0.005036587151418367
rfc_smote,notes_emb_312,0.002114504681949191
rfc_smote,notes_emb_313,0.0011504716823468597
rfc_smote,notes_emb_314,0.0012756667659818799
rfc_smote,notes_emb_315,0.004466307713653733
rfc_smote,notes_emb_316,0.002144036583229256
rfc_smote,notes_emb_317,0.0015845503678590944
rfc_smote,notes_emb_318,0.0013837757828966302
rfc_smote,notes_emb_319,0.001530681680156892
rfc_smote,notes_emb_320,0.0017010196337824601
rfc_smote,notes_emb_321,0.003203074158859234
rfc_smote,notes_emb_322,0.0013444249837823137
rfc_smote,notes_emb_323,0.002348581933888968
rfc_smote,notes_emb_324,0.0012201186796391885
rfc_smote,notes_emb_325,0.0025798440806552594
rfc_smote,notes_emb_326,0.0020581102205965655
rfc_smote,notes_emb_327,0.0014242058919985243
rfc_smote,notes_emb_328,0.006972022449694906
rfc_smote,notes_emb_329,0.001661767051284766
rfc_smote,notes_emb_330,0.004169839177488743
rfc_smote,notes_emb_331,0.002758027375756425
rfc_smote,notes_emb_332,0.0016520842575974953
rfc_smote,notes_emb_333,0.001676498340741795
rfc_smote,notes_emb_334,0.0009241586787527105
rfc_smote,notes_emb_335,0.0011452261676944773
rfc_smote,notes_emb_336,0.0016188538260597412
rfc_smote,notes_emb_337,0.0011200785683136952
rfc_smote,notes_emb_338,0.0013973724260324223
rfc_smote,notes_emb_339,0.0034636763686449247
rfc_smote,notes_emb_340,0.0014122142889426482
rfc_smote,notes_emb_341,0.0023261291595550243
rfc_smote,notes_emb_342,0.0014039169530231117
rfc_smote,notes_emb_343,0.0026464754547604404
rfc_smote,notes_emb_344,0.0013327412839093348
rfc_smote,notes_emb_345,0.005937408388661464
rfc_smote,notes_emb_346,0.002585796730485536
rfc_smote,notes_emb_347,0.0022068452885477857
rfc_smote,notes_emb_348,0.0007289678403262999
rfc_smote,notes_emb_349,0.002972269834996299
rfc_smote,notes_emb_350,0.005968169047788493
rfc_smote,notes_emb_351,0.001212880255019044
rfc_smote,notes_emb_352,0.003042829152322601
rfc_smote,notes_emb_353,0.0012516712339578151
rfc_smote,notes_emb_354,0.0011419039799046755
rfc_smote,notes_emb_355,0.0015972397851043794
rfc_smote,notes_emb_356,0.0011544451727465593
rfc_smote,notes_emb_357,0.001241926033339697
rfc_smote,notes_emb_358,0.0013278456253026651
rfc_smote,notes_emb_359,0.0018699705957131824
rfc_smote,notes_emb_360,0.0020439562406922634
rfc_smote,notes_emb_361,0.0016216374082955731
rfc_smote,notes_emb_362,0.0037517893575697275
rfc_smote,notes_emb_363,0.0016812718919929296
rfc_smote,notes_emb_364,0.006490418096137809
rfc_smote,notes_emb_365,0.0026604699762912496
rfc_smote,notes_emb_366,0.0013755017452664678
rfc_smote,notes_emb_367,0.0014438975132419446
rfc_smote,notes_emb_368,0.0015043366042100886
rfc_smote,notes_emb_369,0.002501674289462885
rfc_smote,notes_emb_370,0.0015455791093615036
rfc_smote,notes_emb_371,0.0014852488988399486
rfc_smote,notes_emb_372,0.0015562792121923772
rfc_smote,notes_emb_373,0.0009426710927369502
rfc_smote,notes_emb_374,0.0013423602175986194
rfc_smote,notes_emb_375,0.0010859313367558555
rfc_smote,notes_emb_376,0.0026452597727755632
rfc_smote,notes_emb_377,0.0018641502513472416
rfc_smote,notes_emb_378,0.0018845090394221378
rfc_smote,notes_emb_379,0.0014009853462933406
rfc_smote,notes_emb_380,0.0013225863373501274
rfc_smote,notes_emb_381,0.0013773266954081082
rfc_smote,notes_emb_382,0.0012098354314125349
rfc_smote,notes_emb_383,0.0013682068920068968
rfc_adasyn,civilian_targeting,0.010139485543310602
rfc_adasyn,fatalities,0.0857157988839765
rfc_adasyn,violence_against_women,7.3523779560212345e-06
rfc_adasyn,sub_event_type_Abduction/forced disappearance,5.905550682081514e-05
rfc_adasyn,sub_event_type_Air/drone strike,0.0
rfc_adasyn,sub_event_type_Armed clash,0.011447497104645482
rfc_adasyn,sub_event_type_Attack,0.0011813570652351162
rfc_adasyn,sub_event_type_Government regains territory,0.0
rfc_adasyn,sub_event_type_Grenade,2.0159331534711994e-05
rfc_adasyn,sub_event_type_Non-state actor overtakes territory,0.000504996649362134
